model,N_train,seed,field_l2
E1,50,0,0.038043
E1,50,1,0.037667
E1,50,2,0.036042
E1,50,3,0.037395
E1,50,4,0.039062
E2,50,0,0.03736
E2,50,1,0.037896
E2,50,2,0.035688
E2,50,3,0.037931
E2,50,4,0.039144
E1,100,0,0.050591
E1,100,1,0.076638
E1,100,2,0.033007
E1,100,3,0.073084
E1,100,4,0.03373
E2,100,0,0.032496
E2,100,1,0.153835
E2,100,2,0.054833
E2,100,3,0.036892
E2,100,4,0.034257
E1,200,0,0.033226
E1,200,1,0.032782
E1,200,2,0.039322
E1,200,3,0.032677
E1,200,4,0.031309
E2,200,0,0.034912
E2,200,1,0.034963
E2,200,2,0.032186
E2,200,3,0.032902
E2,200,4,0.03176
E1,400,0,0.056476
E1,400,1,0.030325
E1,400,2,0.032871
E1,400,3,0.031276
E1,400,4,0.031314
E2,400,0,0.033399
E2,400,1,0.030314
E2,400,2,0.032144
E2,400,3,0.031628
E2,400,4,0.031776
