model,N_train,sigma_test,field_l2,coeff_l2,bc_viol,trivial_l2
E1,50,0.1,0.058231,0.081312,0.0,0.110181
E1,50,0.15,0.091826,0.115795,0.0,0.147188
E1,50,0.2,0.113894,0.138458,0.0,0.171407
E1,50,0.25,0.143596,0.172242,0.0,0.194563
E2,50,0.1,0.033774,0.15335,0.0,0.110181
E2,50,0.15,0.069914,0.217732,0.0,0.147188
E2,50,0.2,0.096138,0.240722,0.0,0.171407
E2,50,0.25,0.124583,0.302147,0.0,0.194563
E1,100,0.1,0.062659,0.114075,0.0,0.109975
E1,100,0.15,0.094292,0.144202,0.0,0.146858
E1,100,0.2,0.114964,0.163732,0.0,0.172006
E1,100,0.25,0.136497,0.188676,0.0,0.194535
E2,100,0.1,0.069963,2.840549,0.0,0.109975
E2,100,0.15,0.099369,2.939843,0.0,0.146858
E2,100,0.2,0.121227,3.079065,0.0,0.172006
E2,100,0.25,0.141471,3.203238,0.0,0.194535
E1,200,0.1,0.032352,0.037108,0.0,0.110711
E1,200,0.15,0.057155,0.065843,0.0,0.146448
E1,200,0.2,0.086143,0.097972,0.0,0.17285
E1,200,0.25,0.110584,0.127251,0.0,0.194774
E2,200,0.1,0.031249,0.308509,0.0,0.110711
E2,200,0.15,0.055531,0.3476,0.0,0.146448
E2,200,0.2,0.087302,0.411516,0.0,0.17285
E2,200,0.25,0.112026,0.466776,0.0,0.194774
E1,400,0.1,0.033811,0.039153,0.0,0.110363
E1,400,0.15,0.055413,0.064762,0.0,0.146476
E1,400,0.2,0.082439,0.095006,0.0,0.172521
E1,400,0.25,0.112253,0.129174,0.0,0.194634
E2,400,0.1,0.030676,0.114838,0.0,0.110363
E2,400,0.15,0.055922,0.138529,0.0,0.146476
E2,400,0.2,0.083085,0.154831,0.0,0.172521
E2,400,0.25,0.110246,0.191415,0.0,0.194634
